name,category,homepage_url,listings_url,coverage,focus,est_listings,anti_bot_estimate,already_in_vettr,notes
BizBuySell,Marketplace,https://www.bizbuysell.com/,https://www.bizbuysell.com/businesses-for-sale/,US National,Main Street + lower-middle-market SMBs and franchises,~65000,High,yes,"Largest US marketplace (CoStar). Akamai/Cloudflare protection - needs real browser session; direct fetch returns 403."
BizQuest,Marketplace,https://www.bizquest.com/,https://www.bizquest.com/businesses-for-sale/,US National,Main Street SMBs and franchises,Large,High,yes,"CoStar-owned sister site to BizBuySell; similar stack and inventory overlap."
BusinessesForSale.com,Marketplace,https://www.businessesforsale.com/,https://www.businessesforsale.com/us,US National (also global),All sizes incl. franchises,~59000 US,Medium,yes,"Large international marketplace; US filter available."
BusinessBroker.net,Marketplace,https://www.businessbroker.net/,https://www.businessbroker.net/search-businesses-for-sale.aspx,US National,Main Street SMBs,Large,Low-Medium,yes,"Broker-fed listing portal; listing cards are JS-rendered (use browser mode)."
DealStream,Marketplace,https://dealstream.com/,https://dealstream.com/businesses-for-sale,US National (also global),Businesses + investment/M&A opportunities,~20000+,Medium,yes,"Marketplace + professional network; some content behind login."
LoopNet,Marketplace,https://www.loopnet.com/,https://www.loopnet.com/biz/businesses-for-sale/,US National,CRE + businesses for sale,Large,High,yes,"CoStar-owned; strong anti-bot. Business-for-sale section overlaps BizBuySell."
Baton Market,Marketplace,https://www.baton.com/,https://www.baton.com/businesses-for-sale,US National,Main Street + lower-middle-market SMBs ($50K-$25M+),Medium,Medium,no,"Modern tech-driven marketplace (also at batonmarket.com). Verified financials; some detail NDA-gated. Off-market section. Likely a client-rendered SPA - needs JS rendering to scrape."
BusinessMart,Marketplace,https://www.businessmart.com/,https://www.businessmart.com/businesses-for-sale.cfm,US National,Main Street SMBs and franchises,Medium,Low,no,"Smaller general marketplace."
GlobalBX,Marketplace,https://www.globalbx.com/,https://www.globalbx.com/business-for-sale/,US National,Free business-for-sale listings,Medium,Low,no,"Free marketplace; older site, generally scrapeable."
BizBen,Regional Marketplace,https://www.bizben.com/,https://www.bizben.com/business-for-sale/,California (US),Main Street SMBs in CA,Regional,Low-Medium,yes,"California-focused; high-value if CA is a target geography."
MergerNetwork,Marketplace,https://www.mergernetwork.com/,https://www.mergernetwork.com/businesses-for-sale,US National,Businesses for sale + M&A,Medium,Low-Medium,no,"Some detail behind registration."
BusinessNation,Marketplace,https://www.businessnation.com/,https://www.businessnation.com/Business-For-Sale/,US National,SMBs and business opportunities,Small-Medium,Low,no,"Smaller directory-style marketplace."
BizNexus,Marketplace,https://www.biznexus.com/,https://www.biznexus.com/listings,US National,Broker/advisor deal aggregation,Medium,Medium,no,"Aggregates broker deals; advisor network."
Axial,Deal Network,https://www.axial.net/,https://www.axial.net/forum/companies/,US National,Lower-middle-market M&A,Members,High,no,"Lower-mid-market deal sourcing network; largely gated/membership."
Acquire.com,Online Marketplace,https://acquire.com/,https://acquire.com/buyers/,US National,Online/SaaS/startup businesses,~10000+,Medium-High,no,"Formerly MicroAcquire. Buyer access requires free account; online businesses only."
Flippa,Online Marketplace,https://flippa.com/,https://flippa.com/businesses,US National (also global),Online businesses, sites, apps,Large,Medium,no,"Online-business marketplace; outside core SMB scope but high volume."
Sunbelt Business Brokers,Broker Network,https://www.sunbeltnetwork.com/,https://www.sunbeltnetwork.com/business-search/,US National,Main Street SMBs (<$1M, some to $10M),Large,Low,yes,"Largest broker franchise network by offices. Network site aggregates office listings."
Transworld Business Advisors,Broker Network,https://www.tworld.com/,https://www.tworld.com/buy-a-business/businesses-for-sale/,US National,Main Street + franchises,Large,Low-Medium,no,"Large franchise network (United Franchise Group). Listing grid is a JS SPA (GorillaDash); use browser/stealth mode."
Murphy Business,Broker Network,https://www.murphybusiness.com/,https://murphybusiness.com/business-brokerage/view-our-listings/,US National,Main Street SMBs,Medium-Large,Low,no,"National franchise network. Listings page is JS-rendered (use browser mode)."
VR Business Brokers,Broker Network,https://www.vrbusinessbrokers.com/,https://www.vrbusinessbrokers.com/businesses-for-sale/,US National,SMBs (<$1M, some to $5M),Medium,Low,no,"Long-running franchise network."
First Choice Business Brokers,Broker Network,https://www.fcbb.com/,https://www.fcbb.com/businesses-for-sale,US National,Main Street SMBs,Large,Low-Medium,no,"One of the largest by transaction volume."
Synergy Business Brokers,Broker Network,https://www.synergybb.com/,https://www.synergybb.com/business-for-sale/,US National (Northeast strength),Lower-middle-market ($700K-$70M),Medium,Low,no,"Higher deal sizes than typical Main Street networks."
